year,release,mean,standarderror
2022,Fugitive Air,4091.325,1235.768
2022,Stack Air,7959.15,802.7829
2022,Water,34982.5,11415.33
2022,Landfills,0,0
2022,Undergound,0,0
2020,Fugitive Air,4117.775,1237.847
2020,Stack Air,7952.874,805.3628
2020,Water,32947.57,10512.23
2020,Landfills,0,0
2020,Undergound,0,0
2017,Fugitive Air,3861.113,963.921
2017,Stack Air,8641.309,856.5077
2017,Water,27357.88,7374.244
2017,Landfills,0,0
2017,Undergound,0,0
2012,Fugitive Air,4462.855,1384.196
2012,Stack Air,10862.48,1050.816
2012,Water,21347.74,4071.552
2012,Landfills,0,0
2012,Undergound,0,0
2007,Fugitive Air,4024.964,320.8624
2007,Stack Air,21278.25,2524.544
2007,Water,23093.76,4809.844
2007,Landfills,0,0
2007,Undergound,0,0
2000,Fugitive Air,5233.4,433.7696
2000,Stack Air,28412.85,3144.019
2000,Water,21365.43,4039.638
2000,Landfills,0,0
2000,Undergound,0,0
1995,Fugitive Air,9333.616,807.4748
1995,Stack Air,34029.63,5827.725
1995,Water,29761.57,9255.816
1995,Landfills,67147.82,21186.22
1995,Undergound,198723.4,36919.44
1990,Fugitive Air,13447.7,1706.609
1990,Stack Air,43624,9572.342
1990,Water,16708.23,4140.453
1990,Landfills,73853.75,22609.72
1990,Undergound,356428.4,109193.6
1987,Fugitive Air,20773.19,1868.708
1987,Stack Air,66181.48,15676.03
1987,Water,778031.8,240941
1987,Landfills,155525.7,28012.79
1987,Undergound,4424992,2455426
